set,missed_task,miss_time
1,2,282
2,2,424
3,5,204
4,0,
5,2,338
6,4,658
7,2,709
8,5,529
9,5,334
10,3,525
11,1,349
12,1,377
13,4,647
14,4,199
15,5,287
16,5,579
17,2,8203
18,2,244
19,3,5537
20,3,295
21,5,14969
22,5,1224
23,4,249
24,2,508
25,1,235
26,3,288
27,5,342
28,4,365
29,4,11546
30,5,3231
31,4,292
32,3,661
33,1,946
34,3,303
35,4,5102
36,5,587
37,2,312
38,4,6330
39,5,504
40,1,295
41,3,13090
42,1,10347
43,4,311
44,4,1614
45,1,225
46,1,469
47,1,278
48,2,287
49,1,514
50,5,584
51,4,11172
52,4,2266
53,2,576
54,3,566
55,2,988
56,5,463
57,1,2605
58,3,609
59,0,
60,4,390
61,1,184
62,5,139
63,3,592
64,4,21798
65,5,340
66,4,171
67,0,
68,2,1569
69,4,24508
70,4,517
71,2,110
72,2,505
73,2,221
74,1,182
75,2,1902
76,5,187
77,2,1513
78,5,2014
79,2,548
80,5,344
81,2,396
82,1,3352
83,2,249
84,2,173
85,2,348
86,4,197
87,2,90
88,0,
89,5,310
90,4,312
91,2,291
92,5,342
93,2,322
94,2,248
95,5,225
96,4,440
97,4,262
98,4,713
99,1,475
100,3,312
